"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000156869.14|FRRS1",7.11764705882353,-2.33778423585872,0.494025914806509,-4.73210851049047,2.22199569171768e-06,0.0695651301184513
"ENSG00000288721.1|ENSG00000288721",31.3529411764706,-5.18142714914926,1.07373550734931,-4.82560846100772,1.39576479777224e-06,0.0695651301184513
"ENSG00000254959.6|INMT-MINDY4",8.29411764705882,3.87196393124974,0.884443868659995,4.37785151602225,1.19854957029749e-05,0.250157271147257
"ENSG00000285427.1|SOD2-OT1",5.82352941176471,3.48246696773558,0.821718148735198,4.23803097582286,2.25488664343845e-05,0.352974317947246
"ENSG00000268750.7|ENSG00000268750",9.23529411764706,-3.74050378278511,0.913192138216802,-4.09607532330406,4.20213257648824e-05,0.461363856413251
"ENSG00000272741.1|ENSG00000272741",6.29411764705882,3.60966640130749,0.887288356865467,4.06819989620893,4.73777295610192e-05,0.461363856413251
"ENSG00000258677.2|ENSG00000258677",9.23529411764706,-3.97250952392671,0.981263985720424,-4.04835964810242,5.15778486767189e-05,0.461363856413251
"ENSG00000283977.1|ENSG00000283977",4.70588235294118,3.15318830470213,0.785407329554962,4.01471718692622,5.95171168348305e-05,0.465833033826614
"ENSG00000281039.1|ENSG00000281039",7.88235294117647,-3.74828707690664,0.955470006833138,-3.92297722597297,8.74614215701419e-05,0.608488545734937
"ENSG00000223972.6|DDX11L1",1,1.30621400939346e-16,0.805511572378705,1.62159558494754e-16,1,1
